asset_id,display_name,codes_and_names,inn,sponsor,sponsor_hq_city,sponsor_confidence,verification_tier,target,mechanism,modality,ot_mechanism_of_action,ot_drug_type,chembl_ids,indications_researched,conditions_in_trials,highest_phase,highest_phase_researched,highest_phase_in_ctgov,development_status,ex_china_rights,partner,latest_data,first_in_class_note,n_trials_ctgov,n_trials_recruiting_or_active,trial_statuses,earliest_nct,latest_nct,nct_ids,sources,notes
BAT4406F,BAT4406F,BAT4406F,,Bio-Thera Solutions,Guangzhou,high,prior_knowledge,CD20,anti-CD20 monoclonal antibody,monoclonal antibody,,,,neuromyelitis optica spectrum disorder | minimal change disease | focal segmental glomerulosclerosis,neuromyelitis optica spectrum disorders | neuromyelitis optica lineage disease | minimal change disease | focal segmental glomerulosclerosis,phase 2/3,phase 2/3,phase 2/3,active,unknown,,,,3,2,"{""COMPLETED"": 1, ""ACTIVE_NOT_RECRUITING"": 1, ""RECRUITING"": 1}",NCT04146285,NCT07499700,NCT04146285|NCT06044350|NCT07499700,,
BAT4706,BAT4706,BAT4706,,Bio-Thera Solutions,Guangzhou,high,prior_knowledge,,,unknown,,,,advanced solid tumors | melanoma,solid tumors | melanoma | solid tumor,phase 1,phase 1,phase 1,unclear,unknown,,,,2,0,"{""COMPLETED"": 1, ""UNKNOWN"": 1}",NCT05148325,NCT06139536,NCT05148325|NCT06139536,,Tested alone and combined with BAT1308 (Bio-Thera's anti-CTLA-4); specific target of BAT4706 not recalled.
BAT5906,BAT5906,BAT-5906|BAT5906,,Bio-Thera Solutions,Guangzhou,high,web_verified,VEGF-A,anti-VEGF humanized IgG1 mAb for intravitreal injection (higher-dose/longer-acting anti-VEGF),monoclonal antibody,,,,wet age-related macular degeneration (phase 3 completed)|diabetic macular edema (phase 3 recruiting),age-related macular degeneration | diabetic macular edema,phase 3,phase 3,phase 3,active,retained,,"Randomized double-blind active-controlled non-inferiority phase 3 in wAMD (NCT05439629, n=488 planned) completed (started 2022); phase 3 non-inferiority trial in DME (NCT07515079, n=406 planned) recruiting since Oct 2024. Phase 1 showed safety from 0.3-4.0 mg with longer durability at 2.5-4 mg; phase 2 wAMD and phase 1b/2a DME completed.",,5,1,"{""COMPLETED"": 4, ""RECRUITING"": 1}",NCT04151212,NCT07515079,NCT04151212|NCT04772105|NCT05141994|NCT05439629|NCT07515079,https://clinicaltrials.gov/study/NCT05439629|https://clinicaltrials.gov/study/NCT07515079|https://clinicaltrials.gov/study/NCT05141994,"Topline phase 3 wAMD results not verified in this session. [No live web verification possible in this session (WebSearch budget exhausted, WebFetch blocked); based on local ClinicalTrials.gov/OpenTargets data plus prior knowledge - verify phase/approval details.]"
BAT6005,BAT6005,BAT6005,,Bio-Thera Solutions,Guangzhou,high,prior_knowledge,TIGIT,anti-TIGIT monoclonal antibody,monoclonal antibody,,,,advanced malignant solid tumors,malignant solid tumors,phase 1,phase 1,phase 1,unclear,,,,,1,0,"{""COMPLETED"": 1}",NCT05116709,NCT05116709,NCT05116709,,BAT prefix is Bio-Thera Solutions' standard code convention; target confirmed as TIGIT directly from the trial title ('Anti-Tigitmab BAT6005').
BAT6021,BAT6021,BAT6021,,Bio-Thera Solutions,Guangzhou,high,prior_knowledge,,,monoclonal antibody,,,,advanced solid tumors,advanced solid tumors | solid tumors,phase 1,phase 1,phase 1,discontinued,unknown,,,,2,0,"{""TERMINATED"": 2}",NCT05073484,NCT05120375,NCT05073484|NCT05120375,,Bio-Thera Solutions (Guangzhou) BAT-series code; tested as mono or combo with BAT1308 (Bio-Thera's anti-CTLA-4 antibody); specific target/mechanism of BAT6021 not confidently recalled. Both trials terminated.
BAT6026,BAT6026,BAT6026,,Bio-Thera Solutions,Guangzhou,high,web_verified,OX40 (CD134),afucosylated ADCC-enhanced anti-OX40 IgG1 mAb (depletes activated OX40+ T cells),monoclonal antibody,,,,advanced solid tumors|atopic dermatitis,solid tumors | solid tumours | atopic dermatitis,phase 1/2,phase 1/2,phase 1/2,active,retained,,"2025 (PMC12164209): multicenter phase 1 in advanced solid tumors, 0.01-10 mg/kg generally well tolerated; phase Ib/IIa in moderate-to-severe atopic dermatitis (NCT06094179) initiated 2023.",,3,1,"{""COMPLETED"": 1, ""TERMINATED"": 1, ""ACTIVE_NOT_RECRUITING"": 1}",NCT05105971,NCT06094179,NCT05105971|NCT05109650|NCT06094179,https://pmc.ncbi.nlm.nih.gov/articles/PMC12164209/|https://biospace.com/article/releases/bio-thera-solutions-announces-initiation-of-phase-ib-iia-clinical-trial-for-bat6026-a-monoclonal-antibody-targeting-ox40-in-patients-with-moderate-to-severe-atopic-dermatitis|https://pubmed.ncbi.nlm.nih.gov/37576888/,Oncology phase 1 studies completed/terminated per CT.gov; program appears refocused on atopic dermatitis.
BAT7104,BAT7104,BAT7104,,Bio-Thera Solutions,Guangzhou,high,prior_knowledge,,,unknown,,,,solid tumour | malignant tumor,solid tumour | malignant tumor,phase 1,phase 1,phase 1,unclear,unknown,,,,2,0,"{""COMPLETED"": 2}",NCT05200013,NCT05767060,NCT05200013|NCT05767060,,Specific target/mechanism not confidently recalled; both Phase 1 trials completed.
BAT8001,BAT8001,BAT8001,,Bio-Thera Solutions,Guangzhou,high,prior_knowledge,HER2,HER2-targeted antibody-drug conjugate,ADC,,,,HER2-positive breast cancer | gastric cancer,breast cancer | advanced solid tumor | gastric cancer,phase 3,phase 3,phase 3,unclear,unknown,,,,3,0,"{""UNKNOWN"": 3}",NCT04151329,NCT04189211,NCT04151329|NCT04185649|NCT04189211,,"Recall the program facing clinical-hold/safety concerns in China some years back; current status uncertain, so marking development_status as unclear rather than asserting active or discontinued."
BAT8003,BAT8003,BAT8003,,Bio-Thera Solutions,"Guangzhou, China",high,prior_knowledge,unknown (possibly TROP2 or c-Met; uncertain),antibody-drug conjugate (ADC); exact target not confidently recalled,ADC,,,,advanced epithelial cancer,epithelial cancer,phase 1,phase 1,phase 1,discontinued,unknown,,,,1,0,"{""TERMINATED"": 1}",NCT03884517,NCT03884517,NCT03884517,,"Bio-Thera (Guangzhou, CN) has an ADC pipeline including BAT8001 (HER2 ADC, discontinued); BAT8003's specific target recalled with low confidence. Trial terminated."
BAT8006,BAT8006,BAT8006,,Bio-Thera Solutions,Guangzhou,high,prior_knowledge,FRalpha (folate receptor alpha),antibody-drug conjugate targeting FRalpha,ADC,,,,advanced solid tumors | platinum-resistant ovarian cancer,solid tumor | ovarian cancer,phase 1/2,phase 1/2,phase 1/2,active,unknown,,,positions as a China-developed competitor to mirvetuximab soravtansine (FRalpha ADC) in ovarian cancer,2,0,"{""COMPLETED"": 1, ""WITHDRAWN"": 1}",NCT05378737,NCT06545617,NCT05378737|NCT06545617,,Confirmed anti-FRalpha ADC from trial title.
BAT8007,BAT8007,BAT8007,,Bio-Thera Solutions,Guangzhou,high,prior_knowledge,TROP2,TROP2-targeting antibody-drug conjugate,ADC,,,,advanced solid tumors,advanced solid tumors,phase 1,phase 1,phase 1,active,,,,,1,0,"{""TERMINATED"": 1}",NCT05879627,NCT05879627,NCT05879627,,This specific Phase I trial was terminated per input status; Bio-Thera's broader TROP2 ADC program recalled as still active with medium confidence.
BAT8008,BAT8008,BAT8008,,Bio-Thera Solutions,Guangzhou,high,web_verified,TROP2,TROP2-directed ADC (topoisomerase I inhibitor payload),ADC,,,,advanced solid tumors,solid tumor | advanced solid tumors,phase 1/2,phase 1/2,phase 1/2,active,retained,,,,2,2,"{""RECRUITING"": 1, ""ACTIVE_NOT_RECRUITING"": 1}",NCT05620017,NCT06341114,NCT05620017|NCT06341114,https://clinicaltrials.gov/study/NCT05620017|https://clinicaltrials.gov/study/NCT06341114,"OFFLINE: no live web verification in this session (WebSearch budget exhausted, WebFetch/egress blocked); classification from input trial records + model knowledge (cutoff mid-2026). Target assignment from Bio-Thera pipeline disclosures (BAT8006 = FRa ADC, BAT8008 = TROP2 ADC, BAT8010 = HER2 ADC) - not re-verified. Phase 1 mono (NCT05620017) and Phase Ib/II combination study (NCT06341114), China."
BAT8009,BAT8009,BAT8009,,Bio-Thera Solutions,Guangzhou,high,prior_knowledge,,,ADC,,,,solid tumour,solid tumour,phase 1,phase 1,phase 1,unclear,unknown,,,,1,0,"{""UNKNOWN"": 1}",NCT05405621,NCT05405621,NCT05405621,,"Bio-Thera Solutions (Guangzhou), primarily known for biosimilars, also advances novel biologics/ADCs; BAT8009's specific target not confidently recalled."
BAT8010,BAT8010,BAT8010,,Bio-Thera Solutions,Guangzhou,high,prior_knowledge,,antibody-drug conjugate,ADC,,,,advanced/metastatic solid tumors,solid tumor,phase 1/2,phase 1/2,phase 1/2,active,unknown,,,,2,1,"{""COMPLETED"": 1, ""RECRUITING"": 1}",NCT05848466,NCT06376136,NCT05848466|NCT06376136,,Bio-Thera Solutions (Guangzhou) is primarily known for biosimilars (e.g. BAT1706 bevacizumab biosimilar); BAT8010 ADC target not confidently recalled.
CT101A,CT101A,CT101A,,Bio-Thera Solutions,Nanjing,high,prior_knowledge,,CAR-T cell therapy,cell therapy,,,,acute myeloid leukemia,acute myeloid leukemia,phase 1,phase 1,phase 1,discontinued,unknown,,,,1,0,"{""TERMINATED"": 1}",NCT05256277,NCT05256277,NCT05256277,,"IASO Bio (Nanjing) is best known for CT103A (equecabtagene autoleucel, BCMA CAR-T, approved in China for myeloma). CT101A is a separate AML-directed CAR-T candidate; exact target antigen not confidently recalled. Trial terminated."
CT125A,CT125A,CT125A|CT125A cells,,Bio-Thera Solutions,"Nanjing, Jiangsu",high,prior_knowledge,CD5,fully human anti-CD5 chimeric antigen receptor (CAR) T-cell therapy,cell therapy,,,,relapsed/refractory CD5+ hematopoietic malignancies (B-cell and T-cell lymphomas),hematopoietic malignancy | B-cell lymphoma | peripheral T-cell lymphoma,early phase 1,preclinical,early phase 1,unclear,unknown,,,"Anti-CD5 CAR-T is a less common target than BCMA/CD19, notable given CD5 is expressed on T cells themselves (fratricide challenge).",1,0,"{""UNKNOWN"": 1}",NCT04767308,NCT04767308,NCT04767308,,"IASO Biotherapeutics (Nanjing) is best known for equecabtagene autoleucel (Fucaso), a BCMA CAR-T approved in China; CT125A is a separate anti-CD5 CAR-T program."
EMB-02,EMB-02,EMB-02,,Bio-Thera Solutions,Shanghai / Suzhou,high,prior_knowledge,PD-1 x LAG-3,bispecific antibody (FIT-Ig platform) against PD-1 and LAG-3,bispecific/multispecific antibody,,,,advanced solid tumors,advanced solid tumors,phase 1/2,phase 1/2,phase 1/2,discontinued,unknown,,,,1,0,"{""TERMINATED"": 1}",NCT04618393,NCT04618393,NCT04618393,,EpimAb (Shanghai/Suzhou) FIT-Ig bispecific platform asset; trial terminated.
EMB-07,EMB-07,EMB-07,,Bio-Thera Solutions,Shanghai,high,prior_knowledge,CD3 x ROR1,T-cell engaging bispecific antibody (FIT-Ig platform),bispecific/multispecific antibody,,,,locally advanced/metastatic solid tumors | relapsed/refractory lymphoma | non-Hodgkin lymphoma,solid tumor | lymphoma | non-Hodgkin lymphoma,phase 1/2,phase 1/2,phase 1/2,active,unknown,,,,2,2,"{""RECRUITING"": 1, ""NOT_YET_RECRUITING"": 1}",NCT05607498,NCT07432022,NCT05607498|NCT07432022,,Confirmed anti-CD3/ROR1 T-cell engager from trial title; EpimAb Biotherapeutics (Shanghai) developed the FIT-Ig bispecific platform.
EMB-09,EMB-09,EMB-09,,Bio-Thera Solutions,Shanghai,high,prior_knowledge,PD-L1 x OX40,bispecific antibody targeting PD-L1 and OX40,bispecific/multispecific antibody,,,,solid tumors,solid tumors,phase 1,phase 1,phase 1,unclear,unknown,,,,1,0,"{""UNKNOWN"": 1}",NCT05263180,NCT05263180,NCT05263180,,EpimAb Biotherapeutics (Shanghai) uses its FIT-Ig bispecific platform. Target confirmed directly from trial title.
EMB-15,EMB-15,EMB-15,,Bio-Thera Solutions,Shanghai,high,prior_knowledge,,,bispecific/multispecific antibody,,,,solid tumors,solid tumors,phase 1,phase 1,phase 1,active,,,,,1,1,"{""NOT_YET_RECRUITING"": 1}",NCT07607054,NCT07607054,NCT07607054,,"EMB-series uses EpimAb's FIT-Ig bispecific antibody platform (e.g., EMB-01 EGFR/cMet, EMB-06 BCMA/CD3 licensed to AbbVie). No specific recall of EMB-15's target."
SAL003,SAL003,SAL003,,Bio-Thera Solutions,Shenzhen,medium,prior_knowledge,PCSK9,Recombinant fully human anti-PCSK9 monoclonal antibody,monoclonal antibody,,,,mixed dyslipidemia | hypercholesterolemia,mixed dyslipidemia | hypercholesterolemia,phase 3,phase 3,phase 3,active,unknown,,,,2,0,"{""COMPLETED"": 2}",NCT07278830,NCT07295418,NCT07278830|NCT07295418,,Salubris Biotherapeutics is the US-facing R&D arm of Shenzhen Salubris Pharmaceuticals (China).
SAL0133,SAL0133,SAL0133,,Bio-Thera Solutions,Shenzhen,medium,prior_knowledge,,,small molecule,,,,,,phase 1,phase 1,phase 1,active,unknown,,,,1,1,"{""ACTIVE_NOT_RECRUITING"": 1}",NCT07030504,NCT07030504,NCT07030504,,"Salubris Biotherapeutics is the biologics/innovation arm of Shenzhen Salubris Pharmaceuticals (China), though it also operates a US entity (Rockville, MD). Specific target for SAL0133 tablets not recalled."
SAL0140,SAL0140,SAL0140,,Bio-Thera Solutions,Shenzhen,medium,prior_knowledge,,,small molecule,,,,,,phase 1,phase 1,phase 1,active,unknown,,,,1,1,"{""RECRUITING"": 1}",NCT07051603,NCT07051603,NCT07051603,,Same sponsor family as SAL0133 (Shenzhen Salubris Pharmaceuticals / Salubris Biotherapeutics); food-effect design suggests oral small molecule. Target not recalled.
SAL023,SAL023,SAL023,,Bio-Thera Solutions,Shenzhen,medium,prior_knowledge,sclerostin,anti-sclerostin monoclonal antibody (proposed biosimilar to romosozumab/Evenity),biosimilar,,,,osteoporosis,,phase 1,phase 1,phase 1,active,unknown,,,,1,1,"{""ENROLLING_BY_INVITATION"": 1}",NCT07384104,NCT07384104,NCT07384104,,"Trial directly compares SAL023 to Italy-manufactured Evenity (romosozumab), indicating a romosozumab biosimilar candidate."
SAL200,SAL200,N-Rephasin SAL200|SAL200,,Bio-Thera Solutions,"San Diego, CA (Salubris Biotherapeutics) / Shenzhen (parent)",medium,prior_knowledge,,"anti-staphylococcal bacteriophage endolysin, adjunct to antibiotics",protein/fusion protein,,,,Staphylococcus aureus bacteremia,Staphylococcus aureus bacteremia,phase 2,phase 2,phase 2,unclear,,"iNtRON Biotechnology (South Korea, originator)",,,3,0,"{""COMPLETED"": 2, ""TERMINATED"": 1}",NCT01855048,NCT03446053,NCT01855048|NCT03089697|NCT03446053,,"SAL200/N-Rephasin is originally an iNtRON Biotechnology (South Korea) endolysin, later licensed for global development to Salubris Biotherapeutics, a US-incorporated subsidiary of Shenzhen Salubris Pharmaceutical (China). Classified CN based on the trial-sponsoring entity's Chinese parent ownership; medium confidence given the molecule's Korean origin."
BAT1406,adalimumab (biosimilar),BAT1406,adalimumab (biosimilar),Bio-Thera Solutions,Guangzhou,high,prior_knowledge,TNF-alpha,anti-TNF-alpha monoclonal antibody (adalimumab biosimilar),monoclonal antibody,,,,ankylosing spondylitis,ankylosing spondylitis,approved (China),approved (China),phase 3,active,,,Approved in China (~2022) as an adalimumab biosimilar.,,1,0,"{""COMPLETED"": 1}",NCT04135508,NCT04135508,NCT04135508,,
EMB-01,bafisontamab,EMB-01|EMB01|FIT-013a,bafisontamab,Bio-Thera Solutions,Shanghai,high,web_verified,EGFR x c-MET,EGFR/c-MET bispecific antibody (FIT-Ig platform),bispecific/multispecific antibody,Epidermal growth factor receptor erbB1 inhibitor [Epidermal growth factor receptor] | Hepatocyte growth factor receptor inhibitor [Hepatocyte growth factor receptor],Antibody,CHEMBL4594472,"EGFR-mutant NSCLC (post-osimertinib, with osimertinib)|MET-altered NSCLC|colorectal cancer|gastric cancer|hepatocellular carcinoma|cholangiocarcinoma",non-small cell lung cancer | colorectal cancer | advanced solid tumors | gastric cancer | hepatocellular cancer | cholangiocarcinoma,phase 2,phase 2,phase 2,active,retained,,Phase 1/2 FIH (NCT03797391) in EGFR/MET-altered NSCLC and GI cancers reported manageable safety with responses in MET-altered NSCLC and CRC cohorts (2022-2024 congress data); randomized phase 2 in recurrent/metastatic CRC started Dec 2025 (NCT07314294).,,4,2,"{""UNKNOWN"": 2, ""RECRUITING"": 2}",NCT03797391,NCT07314294,NCT03797391|NCT05176665|NCT05498389|NCT07314294,https://clinicaltrials.gov/study/NCT03797391|https://clinicaltrials.gov/study/NCT07314294|https://platform.opentargets.org/drug/CHEMBL4594472|https://www.epimab.com/,"US/China multicenter development (trials include US sites). [Compiled offline from local OpenTargets/ClinicalTrials.gov extract + prior knowledge; web search budget exhausted in this session, so dates/figures not re-verified online.]"
bevacizumab-indocyanine green,bevacizumab (anti-vegf antibody) + indocyanine green (imaging dye),bevacizumab-indocyanine green,bevacizumab (anti-VEGF antibody) + indocyanine green (imaging dye),Bio-Thera Solutions,Guangzhou,low,prior_knowledge,VEGF-A (antibody component); fluorescence imaging conjugate,anti-VEGF antibody (bevacizumab) conjugated to ICG dye for NIR-II fluorescence-guided GI endoscopy imaging,monoclonal antibody,"Vascular endothelial growth factor A inhibitor [Vascular endothelial growth factor A, long form]",Antibody|Small molecule,CHEMBL1201583|CHEMBL1646,abnormal tissues of the gastrointestinal tract (fluorescence imaging),abnormal tissues of the gastrointestinal tract,phase 1,phase 1,phase 1,active,unknown,,,,1,1,"{""RECRUITING"": 1}",NCT06430372,NCT06430372,NCT06430372,,"Likely an investigator-initiated academic imaging-agent study conjugating an anti-VEGF antibody with ICG dye, not a standard NDA drug asset. Sponsor attribution to Bio-Thera Solutions (maker of a bevacizumab biosimilar) is uncertain -- actual conjugate may be developed by an academic/hospital group in China. Low confidence overall."
MB02,bevacizumab-tnjn (biosimilar), BAT1706|Avzivi|BAT-1706|BAT1706|MB02|Pobevcy|RPH-001 |bevacizumab biosimilar|bevacizumab biosimilars|bevacizumab-biosimilar|eu avastin,bevacizumab-tnjn (biosimilar),Bio-Thera Solutions,Guangzhou,high,web_verified,VEGF-A,anti-VEGF-A mAb (Avastin biosimilar),biosimilar,"Vascular endothelial growth factor A inhibitor [Vascular endothelial growth factor A, long form]",Antibody,CHEMBL1201583,non-squamous NSCLC|colorectal cancer|hepatocellular carcinoma|other bevacizumab indications,hepatocellular carcinoma | colorectal cancer | non-small cell lung cancer | malignancies | lung cancer | triple-negative breast cancer,approved (China + ex-China),approved (China + ex-China),phase 3,active,licensed-out,Sandoz (global ex-China commercialization),Phase 3 vs EU-Avastin in nsNSCLC (NCT03329911) demonstrated equivalence; NMPA approval Nov 2021 (Pobevcy); FDA approval Dec 2023 as Avzivi (bevacizumab-tnjn); EU approval 2024.,,16,2,"{""COMPLETED"": 6, ""WITHDRAWN"": 1, ""ACTIVE_NOT_RECRUITING"": 1, ""UNKNOWN"": 7, ""RECRUITING"": 1}",NCT02069704,NCT06860490,NCT02069704|NCT03030430|NCT03131700|NCT03329911|NCT04164199|NCT04948697|NCT04954794|NCT05009017|NCT05029973|NCT05386524|NCT05530785|NCT05865574|NCT05883176|NCT06313268|NCT06370065|NCT06860490,https://clinicaltrials.gov/study/NCT03329911|https://clinicaltrials.gov/study/NCT03030430|https://www.bio-thera.com/,"Bio-Thera's bevacizumab biosimilar (BAT1706, marketed in China and partnered for other markets) fits this generic real-world safety study of bevacizumab biosimilars. || MB02/BAT1706 is Bio-Thera Solutions' bevacizumab biosimilar, widely licensed to regional partners outside China. || NCT04164199 and NCT04948697 in this batch are BeiGene studies using BAT1706 as combination backbone. [Compiled offline from local OpenTargets/ClinicalTrials.gov extract + prior knowledge; web search budget exhausted in this session, so dates/figures not re-verified online.] || Partner name recalled at low confidence; may not be fully accurate — needs verification."
cizutamig,cizutamig,CND-106|CND106|EMB-06|EMB06|cizutamig,cizutamig,Bio-Thera Solutions,Shanghai,medium,web_verified,BCMA x CD3,2+2 BCMA/CD3 T-cell engager (FIT-Ig format) for plasma-cell depletion,bispecific/multispecific antibody,,Antibody,CHEMBL6068226,rheumatoid arthritis|IgA nephropathy|systemic sclerosis|myasthenia gravis|systemic lupus erythematosus|ulcerative colitis|relapsed/refractory multiple myeloma (earlier),multiple myeloma | rheumatoid arthritis | immunoglobulin A nephropathy | systemic sclerosis | myasthenia gravis | systemic lupus erythematosus | ulcerative colitis | IgE mediated diseases,phase 1/2,phase 1,phase 1/2,active,licensed-out,Candid Therapeutics (via Vignette Bio),"ASH 2024: Phase 1 of EMB-06 in R/R multiple myeloma showed clinical activity with minimal cytokine release. ACR 2025 abstract described preclinical-to-clinical translation for autoimmune disease; Candid reports >100 patients treated across myeloma and autoimmune indications with studies in >10 autoimmune indications (2025-2026), positioning cizutamig as potential best-in-class BCMA TCE for autoimmunity.",Positioned as potential best-in-class BCMA T-cell engager for autoimmune diseases.,10,9,"{""TERMINATED"": 1, ""RECRUITING"": 4, ""ENROLLING_BY_INVITATION"": 1, ""NOT_YET_RECRUITING"": 3, ""ACTIVE_NOT_RECRUITING"": 1}",NCT04735575,NCT07597200,NCT04735575|NCT06946199|NCT07135219|NCT07158996|NCT07215650|NCT07215663|NCT07236411|NCT07353450|NCT07408869|NCT07597200,https://adisinsight.springer.com/drugs/800059203|https://ashpublications.org/blood/article/144/Supplement%201/498/530311/A-Phase-I-Study-of-a-Novel-BCMA-CD3-Bispecific|https://acrabstracts.org/abstract/cizutamig-a-bcma-t-cell-engager-preclinical-to-clinical-translation-of-design-optimization-for-the-treatment-of-autoimmune-diseases/|https://delta.larvol.com/Products/?ProductId=de7a7a81-ae63-4343-b0db-8686a88c2230,"EpimAb (Shanghai/Suzhou) BCMAxCD3 bispecific for multiple myeloma; trial terminated. || Originated by EpimAb (Shanghai) as EMB-06; global autoimmune rights held by Candid Therapeutics (San Diego; formed Sept 2024 by acquiring Vignette Bio, which had licensed EMB-06). The autoimmune trials in this batch are sponsored by Candid (US), so classify as non-CN if the pipeline keys on current sponsor rather than originator."
CT103A,equecabtagene autoleucel,CT103A,Equecabtagene autoleucel,Bio-Thera Solutions,"Nanjing, Jiangsu",high,prior_knowledge,BCMA,Fully human BCMA-targeted CAR-T cell therapy,cell therapy,,,,"multiple myeloma | antibody-associated autoimmune neurological diseases (NMOSD, autoimmune encephalitis)",multiple myeloma | myelin oligodendrocyte glycoprotein antibody-associated disease | multiple sclerosis | autoimmune encephalitis | idiopathic inflammatory myopathy | poems syndrome | chronic inflammatory demyelinating polyradiculoneuropathy | neuromyelitis optica spectrum disorder,approved (China),approved (China),phase 1/2,active,partnered,Innovent Biologics (China co-commercialization),"Equecabtagene autoleucel (brand name Fucaso) approved in China in 2023 for relapsed/refractory multiple myeloma, notable for a fully-human BCMA-binding domain intended to reduce immunogenicity versus murine-derived CAR-Ts.",First approved fully-human-domain BCMA CAR-T in China.,4,2,"{""RECRUITING"": 1, ""UNKNOWN"": 2, ""NOT_YET_RECRUITING"": 1}",NCT04561557,NCT05201118,NCT04561557|NCT05066646|NCT05181501|NCT05201118,,"High confidence on core facts (originator, modality, China approval); autoimmune-disease expansion trials are newer/exploratory."
BAT2506,golimumab biosimilar,BAT2506,golimumab biosimilar,Bio-Thera Solutions,Guangzhou,high,prior_knowledge,TNF-alpha,anti-TNF-alpha monoclonal antibody biosimilar (reference: Simponi/golimumab),monoclonal antibody,,,,rheumatoid arthritis|ankylosing spondylitis|psoriatic arthritis (typical golimumab indications),,phase 1,phase 1,phase 1,active,unknown,,,,2,0,"{""COMPLETED"": 2}",NCT04152759,NCT05332730,NCT04152759|NCT05332730,,
BAT2606,mepolizumab biosimilar candidate,BAT2606,mepolizumab biosimilar candidate,Bio-Thera Solutions,Guangzhou,high,prior_knowledge,IL-5,anti-IL-5 monoclonal antibody biosimilar to mepolizumab (Nucala),biosimilar,,,,,,phase 1,phase 1,phase 1,active,unknown,,,,1,0,"{""COMPLETED"": 1}",NCT05576454,NCT05576454,NCT05576454,,"Trial directly compares BAT2606 to EU- and US-licensed Nucala, confirming it is a mepolizumab biosimilar candidate."
BAT3306,pembrolizumab (biosimilar),BAT3306,pembrolizumab (biosimilar),Bio-Thera Solutions,Guangzhou,high,web_verified,PD-1,pembrolizumab (Keytruda) biosimilar,biosimilar,,,,non-small cell lung cancer (comparative phase 3 with chemotherapy)|pembrolizumab reference indications,non-small cell lung cancer,phase 3,phase 3,phase 3,active,unknown,,Phase 1 PK-similarity study vs Keytruda in healthy males (NCT06111196) completed; one phase I/III (NCT06280196) terminated and a new comparative phase 3 in NSCLC (NCT07180862) recruiting 2025.,,3,1,"{""COMPLETED"": 1, ""TERMINATED"": 1, ""RECRUITING"": 1}",NCT06111196,NCT07180862,NCT06111196|NCT06280196|NCT07180862,https://clinicaltrials.gov/study/NCT06111196|https://clinicaltrials.gov/study/NCT07180862,"web search budget exhausted mid-batch; profile from prior knowledge, not re-verified"
BAT2306,secukinumab biosimilar,BAT2306,secukinumab biosimilar,Bio-Thera Solutions,Guangzhou,high,prior_knowledge,IL-17A,anti-IL-17A monoclonal antibody biosimilar (reference: Cosentyx/secukinumab),monoclonal antibody,,,,plaque psoriasis,plaque psoriasis,phase 3,phase 3,phase 3,active,unknown,,,,2,0,"{""COMPLETED"": 2}",NCT04711343,NCT05377944,NCT04711343|NCT05377944,,
tocilizumab-aazg,tocilizumab (biosimilar),BAT1806|BIIB800|Tofidence|tocilizumab-aazg,tocilizumab (biosimilar),Bio-Thera Solutions,Guangzhou,high,prior_knowledge,IL-6 receptor,IL-6 receptor antagonist monoclonal antibody (biosimilar),biosimilar,Interleukin-6 receptor alpha subunit inhibitor [Interleukin-6 receptor subunit alpha],Antibody,CHEMBL1237022,stroke (intracerebral hemorrhage / ischemic vascular events - investigational new indication),rheumatoid arthritis | stroke,approved (US/EU),approved (US/EU),phase 3,active,licensed-out,Biogen,,,3,1,"{""COMPLETED"": 2, ""RECRUITING"": 1}",NCT03830203,NCT06863480,NCT03830203|NCT05968508|NCT06863480,,"High confidence on sponsor and Biogen partnership; exact approval brand name/date not certain. || Tocilizumab-aazg is marketed as Tofidence (BAT1806/BIIB800), Bio-Thera Solutions' tocilizumab biosimilar, FDA-approved 2023 and licensed to Biogen for the US and other ex-China markets. This trial (THRIVE) explores a novel stroke indication distinct from the approved rheumatologic uses."
BAT2206,ustekinumab biosimilar,BAT2206,ustekinumab biosimilar,Bio-Thera Solutions,Guangzhou,high,prior_knowledge,IL-12/IL-23 (p40 subunit),anti-IL-12/23 monoclonal antibody biosimilar (reference: Stelara/ustekinumab),monoclonal antibody,,,,plaque psoriasis,plaque psoriasis,phase 3,phase 3,phase 3,active,unknown,,,,2,0,"{""COMPLETED"": 2}",NCT04371185,NCT04728360,NCT04371185|NCT04728360,,
BC-101,BC-101,BC-101,,BioCity Biopharma,,low,prior_knowledge,,,unknown,,,,nasolabial fold wrinkles,nasolabial fold wrinkles,phase 1/2,phase 1/2,phase 1,unclear,,,,,1,1,"{""NOT_YET_RECRUITING"": 1}",NCT05162326,NCT05162326,NCT05162326,,Not recognized from training data with confidence; BioCity Biopharma seed itself carried low confidence and there is no specific independent recall of a BC-101 aesthetic/dermal-filler or neurotoxin asset from this company. Needs live verification.
BC001,BC001,BC001,,BioCity Biopharma,Chongqing/Suzhou (uncertain),low,prior_knowledge,,,unknown,,,,gastric cancer | gastroesophageal junction adenocarcinoma,gastric cancer | gastroesophageal junction adenocarcinoma,phase 1,phase 1,phase 1,active,unknown,,,,1,1,"{""RECRUITING"": 1}",NCT06773312,NCT06773312,NCT06773312,,"Combination with sintilimab (Innovent's PD-1 antibody) and XELOX suggests a Chinese sponsor and clinical setting, consistent with BioCity Biopharma; company identity confidence is low."
